run,imgsz,kind,class,reason,width_bin,count
c4d_11n_640,640,GT,person,,4~8px,801
c4d_11n_640,640,matched,person,,4~8px,216
c4d_11n_640,640,GT,person,,8~16px,1907
c4d_11n_640,640,matched,person,,8~16px,1327
c4d_11n_640,640,GT,person,,<4px,14
c4d_11n_640,640,matched,person,,<4px,0
c4d_11n_640,640,GT,person,,>16px,2014
c4d_11n_640,640,matched,person,,>16px,1760
c4d_11n_640,640,GT,bollard,,4~8px,2392
c4d_11n_640,640,matched,bollard,,4~8px,1636
c4d_11n_640,640,GT,bollard,,8~16px,1605
c4d_11n_640,640,matched,bollard,,8~16px,1198
c4d_11n_640,640,GT,bollard,,<4px,1522
c4d_11n_640,640,matched,bollard,,<4px,485
c4d_11n_640,640,GT,bollard,,>16px,1469
c4d_11n_640,640,matched,bollard,,>16px,1167
c4d_11n_640,640,FN,person,blind,4~8px,205
c4d_11n_640,640,FN,person,blind,8~16px,121
c4d_11n_640,640,FN,person,blind,<4px,8
c4d_11n_640,640,FN,person,blind,>16px,60
c4d_11n_640,640,FN,person,lowconf,4~8px,309
c4d_11n_640,640,FN,person,lowconf,8~16px,331
c4d_11n_640,640,FN,person,lowconf,<4px,6
c4d_11n_640,640,FN,person,lowconf,>16px,112
c4d_11n_640,640,FN,person,merged,4~8px,31
c4d_11n_640,640,FN,person,merged,8~16px,99
c4d_11n_640,640,FN,person,merged,>16px,67
c4d_11n_640,640,FN,person,nearmiss,4~8px,40
c4d_11n_640,640,FN,person,nearmiss,8~16px,29
c4d_11n_640,640,FN,person,nearmiss,>16px,15
c4d_11n_640,640,FN,bollard,blind,4~8px,274
c4d_11n_640,640,FN,bollard,blind,8~16px,154
c4d_11n_640,640,FN,bollard,blind,<4px,601
c4d_11n_640,640,FN,bollard,blind,>16px,145
c4d_11n_640,640,FN,bollard,lowconf,4~8px,417
c4d_11n_640,640,FN,bollard,lowconf,8~16px,206
c4d_11n_640,640,FN,bollard,lowconf,<4px,345
c4d_11n_640,640,FN,bollard,lowconf,>16px,130
c4d_11n_640,640,FN,bollard,merged,4~8px,23
c4d_11n_640,640,FN,bollard,merged,8~16px,28
c4d_11n_640,640,FN,bollard,merged,<4px,12
c4d_11n_640,640,FN,bollard,merged,>16px,16
c4d_11n_640,640,FN,bollard,nearmiss,4~8px,42
c4d_11n_640,640,FN,bollard,nearmiss,8~16px,19
c4d_11n_640,640,FN,bollard,nearmiss,<4px,79
c4d_11n_640,640,FN,bollard,nearmiss,>16px,11
c4d_11n_640,640,FP,person,confusion,,6
c4d_11n_640,640,FP,person,dup,,154
c4d_11n_640,640,FP,person,ghost,,408
c4d_11n_640,640,FP,person,nearmiss,,138
c4d_11n_640,640,FP,stairs,ghost,,2
c4d_11n_640,640,FP,bollard,confusion,,8
c4d_11n_640,640,FP,bollard,dup,,266
c4d_11n_640,640,FP,bollard,ghost,,701
c4d_11n_640,640,FP,bollard,nearmiss,,246
c4d_11n_640,640,sweep_tp@0.25,person,,,3303
c4d_11n_640,640,sweep_fp@0.25,person,,,706
c4d_11n_640,640,sweep_tp@0.25,bollard,,,4486
c4d_11n_640,640,sweep_fp@0.25,bollard,,,1221
c4d_11n_640,640,sweep_tp@0.1,person,,,3698
c4d_11n_640,640,sweep_fp@0.1,person,,,2417
c4d_11n_640,640,sweep_tp@0.1,bollard,,,5042
c4d_11n_640,640,sweep_fp@0.1,bollard,,,3557
c4d_11n_640,640,sweep_tp@0.05,person,,,3898
c4d_11n_640,640,sweep_fp@0.05,person,,,4730
c4d_11n_640,640,sweep_tp@0.05,bollard,,,5310
c4d_11n_640,640,sweep_fp@0.05,bollard,,,6173
c4d_11n_640,640,sweep_tp@0.01,person,,,4223
c4d_11n_640,640,sweep_fp@0.01,person,,,16812
c4d_11n_640,640,sweep_tp@0.01,bollard,,,5648
c4d_11n_640,640,sweep_fp@0.01,bollard,,,18247
